epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,8183.05,1.01411,0.95959,1.43175,0.70959,0.63909,0.67291,0.47331,0.97123,0.97248,1.45855,0.001684,0.001684,0.001684
86,8374.39,1.00535,0.96318,1.42941,0.71959,0.63489,0.67409,0.47539,0.9665,0.97403,1.45585,0.001585,0.001585,0.001585
87,8568.84,0.99712,0.94283,1.42249,0.71561,0.64263,0.67804,0.47808,0.96677,0.97362,1.45597,0.001486,0.001486,0.001486
88,8762.11,0.99076,0.93494,1.42335,0.71928,0.64242,0.67754,0.47873,0.96714,0.97156,1.45691,0.001387,0.001387,0.001387
89,8954.68,0.99939,0.94073,1.42395,0.72246,0.636,0.67908,0.47852,0.96311,0.96661,1.4507,0.001288,0.001288,0.001288
90,9146.85,0.98719,0.92823,1.41437,0.70904,0.64228,0.67884,0.4805,0.96278,0.96552,1.44986,0.001189,0.001189,0.001189
91,9379.08,0.99324,0.87638,1.4721,0.7116,0.64197,0.6786,0.48169,0.95832,0.95875,1.44412,0.00109,0.00109,0.00109
92,9568.51,0.98734,0.84919,1.45878,0.70803,0.64788,0.68298,0.48406,0.9587,0.95689,1.44352,0.000991,0.000991,0.000991
93,9757.62,0.97109,0.83683,1.44963,0.70621,0.64822,0.68489,0.48505,0.95814,0.95951,1.44178,0.000892,0.000892,0.000892
94,9948.58,0.9733,0.82868,1.45233,0.69994,0.65014,0.68552,0.4873,0.95763,0.95719,1.44204,0.000793,0.000793,0.000793
95,10138.9,0.96698,0.82594,1.44518,0.70897,0.64983,0.68742,0.48982,0.95589,0.95131,1.4409,0.000694,0.000694,0.000694
96,10330.1,0.95933,0.81258,1.43149,0.7185,0.64325,0.68688,0.49144,0.95277,0.94985,1.43803,0.000595,0.000595,0.000595
97,10520.2,0.95911,0.80882,1.43553,0.72193,0.64473,0.68795,0.49221,0.95047,0.94651,1.43587,0.000496,0.000496,0.000496
98,10710.2,0.94677,0.80376,1.42952,0.72,0.64665,0.68844,0.49399,0.94974,0.94492,1.43556,0.000397,0.000397,0.000397
99,10899.5,0.94058,0.79668,1.42772,0.71885,0.64792,0.68938,0.49516,0.94908,0.94319,1.43559,0.000298,0.000298,0.000298
100,11088.8,0.93993,0.79045,1.41456,0.71663,0.64933,0.69071,0.49521,0.94926,0.94107,1.43654,0.000199,0.000199,0.000199
