epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,10188.1,1.27469,1.35667,0.01801,0.7126,0.59524,0.65341,0.43266,1.10163,0.95155,0.0231,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,265.114,1.25052,1.33343,0.01745,0.73628,0.60089,0.67385,0.444,1.11964,0.96491,0.02324,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,510.946,1.25405,1.31101,0.01759,0.71022,0.61325,0.67252,0.44601,1.11493,0.95978,0.02329,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,755.235,1.23682,1.27728,0.01723,0.7504,0.6116,0.67753,0.44895,1.10697,0.97134,0.02297,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1011.54,1.2388,1.27902,0.01725,0.74287,0.61163,0.67936,0.45487,1.10039,0.95125,0.02277,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,1261.58,1.24039,1.27293,0.01738,0.74151,0.61614,0.6836,0.4594,1.08727,0.93203,0.02241,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,1508.84,1.22861,1.27785,0.01697,0.7418,0.62624,0.68961,0.45964,1.08858,0.94067,0.02242,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,1761.57,1.22884,1.26422,0.01689,0.7585,0.62546,0.69656,0.46425,1.09235,0.92519,0.02256,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,2019.63,1.23084,1.24196,0.01701,0.74449,0.62842,0.69491,0.46509,1.09003,0.92219,0.02264,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,2280.3,1.21491,1.23074,0.01686,0.74877,0.63248,0.70194,0.47093,1.07937,0.91218,0.02236,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,2535.67,1.21804,1.22569,0.0167,0.76272,0.63501,0.70592,0.47404,1.07647,0.9021,0.02225,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,2792.07,1.19786,1.20559,0.01694,0.76634,0.63937,0.71166,0.47893,1.06302,0.90803,0.02184,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,3048.75,1.20729,1.21076,0.01673,0.77879,0.63669,0.71186,0.47957,1.06759,0.90407,0.02191,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,3297.56,1.19981,1.20687,0.01645,0.77575,0.64174,0.7179,0.48409,1.06739,0.88814,0.02199,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,3549.27,1.20477,1.18235,0.01656,0.777,0.64323,0.7198,0.48652,1.05399,0.8806,0.02156,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,3798.97,1.18896,1.17875,0.01626,0.76772,0.64761,0.71915,0.48776,1.04958,0.88078,0.02143,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,4051.88,1.18337,1.17137,0.01622,0.78499,0.65193,0.72567,0.49055,1.0497,0.88143,0.02154,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,4305.83,1.18316,1.16752,0.01614,0.77576,0.65628,0.72803,0.49319,1.05106,0.87624,0.0216,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,4559.6,1.17701,1.14254,0.0161,0.78446,0.65252,0.72943,0.49602,1.05123,0.87583,0.02163,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,4814.52,1.18609,1.14378,0.01611,0.77624,0.66138,0.73241,0.50096,1.04133,0.86698,0.02133,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,5117.46,1.16969,1.14983,0.01601,0.77291,0.66099,0.73019,0.50103,1.03887,0.86292,0.02121,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,5516.78,1.16496,1.11898,0.0159,0.78087,0.66675,0.73645,0.50506,1.03274,0.85853,0.02102,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,5770.69,1.17542,1.13335,0.01601,0.78127,0.67322,0.74129,0.50811,1.0313,0.85056,0.02099,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,6024.95,1.17362,1.11304,0.01586,0.79065,0.6692,0.74453,0.51105,1.02846,0.84166,0.02079,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,6276.09,1.15237,1.10115,0.01559,0.79565,0.67442,0.7458,0.51081,1.03152,0.83799,0.02087,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,6527.83,1.16406,1.09827,0.01574,0.80033,0.67481,0.74828,0.5139,1.02218,0.84549,0.02066,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,6778.48,1.15408,1.09162,0.01549,0.79364,0.67397,0.75026,0.51668,1.019,0.84098,0.02055,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,7029.97,1.14031,1.07591,0.01553,0.80091,0.67236,0.75038,0.51846,1.01429,0.8311,0.02039,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,7280.89,1.14734,1.07205,0.01548,0.79626,0.67614,0.75217,0.52162,1.01101,0.83104,0.02029,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,7531.36,1.13739,1.07573,0.01524,0.80133,0.68116,0.75527,0.52195,1.00762,0.83113,0.02026,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,7796.29,1.13453,1.06563,0.01528,0.80639,0.68048,0.75809,0.52537,1.00592,0.83404,0.02026,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,8057.59,1.13555,1.04692,0.01517,0.80538,0.68039,0.75695,0.52594,1.00266,0.84041,0.0202,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,8317.37,1.13725,1.04643,0.01506,0.80521,0.68017,0.75814,0.52825,1.00091,0.8356,0.02014,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,8582.7,1.12995,1.03062,0.01509,0.80576,0.68413,0.7612,0.52982,1.00014,0.82962,0.02013,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,8841.8,1.12355,1.02383,0.01512,0.80487,0.68708,0.76204,0.53105,0.99702,0.82601,0.02003,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
