epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2444.79,1.11906,1.13583,1.47764,0.71532,0.61176,0.67109,0.44588,1.01149,0.86417,1.48303,0.005842,0.005842,0.005842
44,2837.17,1.11222,1.12244,1.4776,0.71163,0.6145,0.67627,0.45,1.0079,0.85353,1.47869,0.005743,0.005743,0.005743
45,3225.81,1.11212,1.12523,1.47182,0.7202,0.61337,0.67701,0.45042,1.00302,0.85302,1.47085,0.005644,0.005644,0.005644
46,393.273,1.08333,1.08645,1.45731,0.72258,0.61799,0.67865,0.45236,0.99583,0.83794,1.46095,0.005545,0.005545,0.005545
47,768.348,1.08193,1.08531,1.45352,0.73514,0.61263,0.68267,0.45744,0.99327,0.83481,1.45995,0.005446,0.005446,0.005446
48,1140.08,1.07721,1.06984,1.44533,0.72303,0.62725,0.68681,0.45965,0.99176,0.8298,1.46196,0.005347,0.005347,0.005347
49,1511.45,1.07102,1.06553,1.44288,0.73285,0.62701,0.68925,0.46176,0.98763,0.82524,1.45436,0.005248,0.005248,0.005248
50,1883.51,1.07354,1.06144,1.44063,0.73486,0.63233,0.6926,0.46391,0.98613,0.82094,1.45249,0.005149,0.005149,0.005149
51,2256.15,1.06707,1.04733,1.43576,0.74058,0.63189,0.69286,0.46534,0.98271,0.82106,1.45172,0.00505,0.00505,0.00505
52,2628.78,1.06489,1.04122,1.43782,0.73722,0.63468,0.6966,0.46774,0.98163,0.81749,1.4532,0.004951,0.004951,0.004951
53,3001.8,1.07223,1.05428,1.43578,0.73556,0.63746,0.69766,0.46924,0.98431,0.8166,1.44865,0.004852,0.004852,0.004852
54,3375.05,1.07608,1.05225,1.43776,0.72684,0.64131,0.69895,0.46938,0.97735,0.81121,1.4425,0.004753,0.004753,0.004753
55,3747.58,1.07728,1.05288,1.44139,0.74491,0.63702,0.70239,0.47329,0.97311,0.80593,1.43683,0.004654,0.004654,0.004654
56,4119.84,1.07172,1.05103,1.4403,0.73504,0.6457,0.70383,0.47542,0.97296,0.80246,1.43416,0.004555,0.004555,0.004555
57,4491.5,1.08257,1.0448,1.43394,0.7268,0.65217,0.707,0.47661,0.96841,0.79887,1.42976,0.004456,0.004456,0.004456
58,4861.46,1.06856,1.03018,1.42507,0.73123,0.65131,0.70883,0.47896,0.96412,0.79115,1.4239,0.004357,0.004357,0.004357
59,5232.23,1.06066,1.03144,1.42401,0.74761,0.64937,0.71058,0.48024,0.96437,0.78812,1.42297,0.004258,0.004258,0.004258
60,5603.36,1.05985,1.02747,1.42535,0.74901,0.65297,0.71319,0.48258,0.96249,0.78524,1.41974,0.004159,0.004159,0.004159
61,5975.07,1.05383,1.02465,1.42071,0.74861,0.65245,0.71535,0.48525,0.96016,0.78092,1.41915,0.00406,0.00406,0.00406
62,6347.54,1.04588,1.00405,1.41195,0.75388,0.64997,0.71539,0.48604,0.95737,0.77828,1.41558,0.003961,0.003961,0.003961
63,6719.54,1.04195,1.00121,1.41231,0.75433,0.65372,0.71823,0.4881,0.95426,0.77654,1.41234,0.003862,0.003862,0.003862
64,7093.55,1.04719,0.99797,1.40639,0.75602,0.65565,0.71952,0.49032,0.95255,0.77399,1.41094,0.003763,0.003763,0.003763
65,7464.2,1.04159,0.99479,1.41036,0.75552,0.65729,0.7204,0.49202,0.95029,0.77168,1.40913,0.003664,0.003664,0.003664
66,7834.34,1.02665,0.98086,1.40493,0.76693,0.65347,0.7228,0.49448,0.94764,0.76893,1.40755,0.003565,0.003565,0.003565
67,8205.06,1.03383,0.98641,1.40593,0.76611,0.65534,0.72466,0.49601,0.94558,0.76663,1.40654,0.003466,0.003466,0.003466
68,8577.24,1.03208,0.98151,1.4019,0.76502,0.65894,0.7273,0.49784,0.94433,0.76403,1.40245,0.003367,0.003367,0.003367
69,8949.73,1.03381,0.97308,1.40104,0.76053,0.66348,0.72871,0.49868,0.94432,0.76009,1.40124,0.003268,0.003268,0.003268
